frame_id,balls,goalkeepers,players,referees
0,0,0,3,0
1,0,0,2,0
2,0,0,4,0
3,0,0,2,0
4,0,0,4,0
5,0,0,11,1
6,0,1,12,1
7,1,1,14,1
8,1,1,13,1
9,1,1,13,1
10,1,1,12,1
11,1,1,13,1
12,0,1,11,1
13,0,0,13,2
14,0,0,12,3
15,0,1,11,2
16,0,1,11,2
17,1,1,12,2
18,1,1,11,2
19,0,1,11,2
20,0,1,12,2
21,0,1,11,2
22,1,1,11,1
23,1,1,12,1
24,1,1,12,1
25,1,0,14,2
26,1,0,12,2
27,1,0,12,2
28,1,1,12,2
29,1,1,12,2
30,1,1,11,1
31,0,1,11,3
32,0,1,13,1
33,1,1,11,1
34,0,1,13,1
35,0,1,12,1
36,0,1,12,1
37,1,1,12,1
38,0,1,11,1
39,0,0,11,1
40,0,1,11,1
41,1,1,12,1
42,0,1,13,1
43,0,1,12,1
44,0,1,14,1
45,1,1,12,1
46,0,1,12,2
47,0,1,8,1
48,1,1,11,1
49,0,1,11,0
50,1,1,12,0
51,0,2,12,0
52,0,0,11,1
53,0,0,12,1
54,0,1,9,1
55,0,1,11,2
56,0,1,12,2
57,0,0,11,2
58,0,0,11,2
59,0,1,11,3
60,0,0,11,2
61,0,0,11,3
62,0,0,11,1
63,1,0,13,2
64,0,0,13,2
65,0,0,12,2
66,0,1,12,1
67,0,0,12,2
68,1,0,12,2
69,0,1,14,1
70,1,0,13,1
71,1,0,14,2
72,1,0,13,1
73,0,0,11,1
74,0,0,11,3
75,1,0,12,1
76,0,0,11,1
77,0,0,12,1
78,1,0,11,1
79,1,0,12,1
80,0,1,11,2
81,0,1,10,1
82,1,1,10,1
83,1,1,11,1
84,2,1,11,1
85,0,1,11,1
86,0,1,11,1
87,1,1,12,1
88,0,1,11,1
89,0,1,10,1
90,0,1,12,0
91,0,1,13,0
92,0,1,11,0
93,0,0,15,0
94,0,0,11,0
95,0,0,11,0
96,0,0,12,0
97,1,0,12,1
98,2,0,12,1
99,1,1,10,0
100,0,0,12,0
101,0,0,11,0
102,0,0,15,0
103,0,0,11,0
104,0,0,10,0
105,0,0,11,1
106,0,0,13,1
107,0,0,12,0
108,0,0,10,0
109,0,1,11,1
110,0,0,9,2
111,0,1,10,1
112,0,1,10,1
113,0,1,9,2
114,1,1,10,1
115,0,1,9,1
116,0,1,10,1
117,0,1,9,1
118,0,1,12,0
119,0,1,11,0
120,0,1,9,0
121,0,1,11,0
122,0,1,10,1
123,0,1,10,1
124,0,1,9,1
125,0,1,10,0
126,0,0,0,0
127,0,0,2,0
128,0,1,0,0
129,0,0,0,0
130,0,0,0,0
131,0,0,0,0
